url,date,traffic
https://twitter.com/pipipi515123456/status/1369253986449174531,2021-03-09T11:49:24+00:00,61178
https://twitter.com/yg_treasure_jp/status/1369499270521389060,2021-03-10T04:04:04+00:00,52979
https://twitter.com/hanae0626/status/1369527382961393664,2021-03-10T05:55:47+00:00,52922
https://twitter.com/hanae0626/status/1369447135738015744,2021-03-10T00:36:54+00:00,51452
https://twitter.com/bou128/status/1369248757057953799,2021-03-09T11:28:37+00:00,46795
https://twitter.com/granbluefantasy/status/1369559692138016770,2021-03-10T08:04:10+00:00,46592
https://twitter.com/ENHYPEN_JP/status/1369528445693292545,2021-03-10T06:00:00+00:00,40504
https://twitter.com/kiman_prpr/status/1369302471718416384,2021-03-09T15:02:04+00:00,39783
https://twitter.com/umaiyo_puyoman/status/1369269341816979457,2021-03-09T12:50:25+00:00,38188
https://twitter.com/ryosuketarou/status/1369282730001793031,2021-03-09T13:43:37+00:00,37226
https://twitter.com/ensemble_stars/status/1369498496546447363,2021-03-10T04:01:00+00:00,36228
https://twitter.com/Sora_Sakurai/status/1369473272962715649,2021-03-10T02:20:46+00:00,35905
https://twitter.com/satomimi__/status/1369268892925710336,2021-03-09T12:48:38+00:00,33303
https://twitter.com/satotomi__/status/1369557102528667653,2021-03-10T07:53:53+00:00,32779
https://twitter.com/uma_musu/status/1369559708940394498,2021-03-10T08:04:14+00:00,32407
https://twitter.com/pj_sekai/status/1369537690299887621,2021-03-10T06:36:44+00:00,31180
https://twitter.com/rinu_sub/status/1369572345703063553,2021-03-10T08:54:27+00:00,30822
https://twitter.com/kiyo_saiore/status/1369268773086105605,2021-03-09T12:48:09+00:00,30486
https://twitter.com/soshina3/status/1369465627119742983,2021-03-10T01:50:23+00:00,30086
https://twitter.com/oryzae1824/status/1369259864174727170,2021-03-09T12:12:45+00:00,28869
https://twitter.com/jj59u/status/1369266101721309186,2021-03-09T12:37:33+00:00,28721
https://twitter.com/ensemble_stars/status/1369498247631417348,2021-03-10T04:00:00+00:00,28313
https://twitter.com/ensemble_stars/status/1369499503305310211,2021-03-10T04:05:00+00:00,27644
https://twitter.com/pj_sekai/status/1369257986716180482,2021-03-09T12:05:18+00:00,27485
https://twitter.com/yg_treasure_jp/status/1369302793346048000,2021-03-09T15:03:21+00:00,26959
https://twitter.com/uni_mafumafu/status/1369246291902013440,2021-03-09T11:18:50+00:00,26927
https://twitter.com/STPR_records/status/1369558668572696583,2021-03-10T08:00:06+00:00,26549
https://twitter.com/HAL9152/status/1369488644122103813,2021-03-10T03:21:51+00:00,26364
https://twitter.com/egutakuya/status/1369262036492955651,2021-03-09T12:21:23+00:00,26187
https://twitter.com/satomimi__/status/1369533792751284233,2021-03-10T06:21:15+00:00,26186
https://twitter.com/tyomateee2/status/1369279634655772685,2021-03-09T13:31:19+00:00,26138
https://twitter.com/pj_sekai/status/1369537405498257412,2021-03-10T06:35:36+00:00,25905
https://twitter.com/ensemble_stars/status/1369528448461455360,2021-03-10T06:00:01+00:00,25765
https://twitter.com/ensemble_stars/status/1369498748246618114,2021-03-10T04:02:00+00:00,25728
https://twitter.com/yeskiri/status/1369366096151724032,2021-03-09T19:14:53+00:00,25349
https://twitter.com/miu404_tbs/status/1369255656386162690,2021-03-09T11:56:02+00:00,25047
https://twitter.com/Jumpei_Mitsui/status/1369473433260552194,2021-03-10T02:21:24+00:00,24790
https://twitter.com/KAGAYA_11949/status/1369249029821898756,2021-03-09T11:29:42+00:00,24272
https://twitter.com/SN__20200122/status/1369529116207161344,2021-03-10T06:02:40+00:00,24266
https://twitter.com/pj_sekai/status/1369243470032904196,2021-03-09T11:07:37+00:00,23895
https://twitter.com/twst_jp/status/1369575708805099520,2021-03-10T09:07:49+00:00,23863
https://twitter.com/yg_treasure_jp/status/1369329256522776581,2021-03-09T16:48:30+00:00,23357
https://twitter.com/ruroken_movie/status/1369407655052255239,2021-03-09T22:00:01+00:00,23323
https://twitter.com/yousuck2020/status/1369260587528683531,2021-03-09T12:15:38+00:00,22916
https://twitter.com/bosskoi_tbs/status/1369287120750137346,2021-03-09T14:01:04+00:00,22872
https://twitter.com/Jel__official/status/1369258337842397184,2021-03-09T12:06:41+00:00,22378
https://twitter.com/saku_sasaki/status/1369319019292078088,2021-03-09T16:07:49+00:00,22042
https://twitter.com/pj_sekai/status/1369254566760431620,2021-03-09T11:51:42+00:00,22032
https://twitter.com/MINAMI373HAMABE/status/1369588956203950085,2021-03-10T10:00:27+00:00,21782
https://twitter.com/nogizaka46/status/1369243567273738240,2021-03-09T11:08:00+00:00,21673
https://twitter.com/anaban_ntv/status/1369422750838788096,2021-03-09T23:00:01+00:00,21441
https://twitter.com/yg_treasure_jp/status/1369574402837278720,2021-03-10T09:02:37+00:00,21250
https://twitter.com/therampagefext/status/1369251068618502146,2021-03-09T11:37:48+00:00,20869
https://twitter.com/CRUNCHY_MMLONI/status/1369365376103022595,2021-03-09T19:12:01+00:00,20845
https://twitter.com/H_KANNA_0203/status/1369463458467512323,2021-03-10T01:41:46+00:00,20780
https://twitter.com/uni_mafumafu/status/1369567015950643204,2021-03-10T08:33:16+00:00,20414
https://twitter.com/TigersDreamlink/status/1369530119216267269,2021-03-10T06:06:39+00:00,20232
https://twitter.com/navigavi/status/1369404553507049474,2021-03-09T21:47:42+00:00,20108
https://twitter.com/anaban_ntv/status/1369301951750541319,2021-03-09T15:00:00+00:00,20085
https://twitter.com/ensemble_stars/status/1369486920019890178,2021-03-10T03:15:00+00:00,20017
https://twitter.com/WayV_official/status/1369603941151903748,2021-03-10T11:00:00+00:00,19959
https://twitter.com/nodacry/status/1369478840351821827,2021-03-10T02:42:53+00:00,19953
https://twitter.com/pj_sekai/status/1369256993928675328,2021-03-09T12:01:21+00:00,19884
https://twitter.com/ensemble_stars/status/1369452946069590016,2021-03-10T01:00:00+00:00,19838
https://twitter.com/otter_fes/status/1369474915665997829,2021-03-10T02:27:18+00:00,19832
https://twitter.com/doubutsuno_mori/status/1369483420045352961,2021-03-10T03:01:05+00:00,19585
https://twitter.com/pj_sekai/status/1369271606749523976,2021-03-09T12:59:25+00:00,19531
https://twitter.com/Ixy/status/1369511687808708615,2021-03-10T04:53:25+00:00,19493
https://twitter.com/ENHYPEN_JP/status/1369513346555252737,2021-03-10T05:00:00+00:00,19452
https://twitter.com/fuji_ayako/status/1369480315303960581,2021-03-10T02:48:45+00:00,19333
https://twitter.com/maaya_taso/status/1369304088412786688,2021-03-09T15:08:29+00:00,19240
https://twitter.com/murase_pipipi/status/1369275918288441352,2021-03-09T13:16:33+00:00,18851
https://twitter.com/ensemble_stars/status/1369499251458375680,2021-03-10T04:04:00+00:00,18690
https://twitter.com/3m_0l/status/1369404728602484736,2021-03-09T21:48:24+00:00,18607
https://twitter.com/evangelion_co/status/1369308417064644610,2021-03-09T15:25:41+00:00,18606
https://twitter.com/hamagohan_r/status/1369267149714296832,2021-03-09T12:41:42+00:00,18545
https://twitter.com/hypnosismic/status/1369555877703733250,2021-03-10T07:49:01+00:00,18497
https://twitter.com/yg_treasure_jp/status/1369305083561775107,2021-03-09T15:12:27+00:00,18394
https://twitter.com/pj_sekai/status/1369530278318809094,2021-03-10T06:07:17+00:00,18300
https://twitter.com/pj_sekai/status/1369537060613230595,2021-03-10T06:34:14+00:00,18141
https://twitter.com/yg_treasure_jp/status/1369527103050240004,2021-03-10T05:54:40+00:00,17904
https://twitter.com/Official_MX_jp/status/1369298739253424148,2021-03-09T14:47:14+00:00,17664
https://twitter.com/yg_treasure_jp/status/1369317416992268289,2021-03-09T16:01:27+00:00,17561
https://twitter.com/pj_sekai/status/1369498945580240896,2021-03-10T04:02:47+00:00,17480
https://twitter.com/_amatsuki_/status/1369584559994507267,2021-03-10T09:42:59+00:00,17426
https://twitter.com/MToriofficial/status/1369291153229508608,2021-03-09T14:17:05+00:00,17330
https://twitter.com/takuya_hyon/status/1369393125521842181,2021-03-09T21:02:17+00:00,16805
https://twitter.com/TOUKEN_STAFF/status/1369559393969135616,2021-03-10T08:02:59+00:00,16610
https://twitter.com/Official_MX_jp/status/1369299638096965632,2021-03-09T14:50:48+00:00,16437
https://twitter.com/eyecare_cp/status/1369468051201097728,2021-03-10T02:00:01+00:00,16276
https://twitter.com/aNo2mass/status/1369267077672886278,2021-03-09T12:41:25+00:00,16182
https://twitter.com/pj_sekai/status/1369255053413019653,2021-03-09T11:53:38+00:00,16132
https://twitter.com/tyomateee2/status/1369294453542957056,2021-03-09T14:30:12+00:00,15980
https://twitter.com/badassceo/status/1369421008193601538,2021-03-09T22:53:05+00:00,15792
https://twitter.com/omoti194/status/1369417839673831427,2021-03-09T22:40:30+00:00,15772
https://twitter.com/nogizaka46/status/1369260187673112579,2021-03-09T12:14:03+00:00,15727
https://twitter.com/pj_sekai/status/1369255228097241090,2021-03-09T11:54:20+00:00,15712
https://twitter.com/lleftt/status/1369304406227886087,2021-03-09T15:09:45+00:00,14609
https://twitter.com/Unimaru_owata/status/1369291856350224387,2021-03-09T14:19:53+00:00,14495
